Molecule Name,Structure,CDD Number,SMILES,Canonical PostEra ID,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Concentration (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Inhibition (%)
CVD-0020431, ,,Fc1cc2nc(NNC(=O)c3cc(=O)[nH]c4ccccc34)[nH]c2cc1F,ALP-UNI-ed5cdfd2-6,> 99.5,,,7.46299982070923,11
CVD-0020431, ,,Fc1cc2nc(NNC(=O)c3cc(=O)[nH]c4ccccc34)[nH]c2cc1F,ALP-UNI-ed5cdfd2-6,> 99.5,,,0.388000011444092,-1.3
CVD-0020431, ,,Fc1cc2nc(NNC(=O)c3cc(=O)[nH]c4ccccc34)[nH]c2cc1F,ALP-UNI-ed5cdfd2-6,> 99.5,,,2.48799991607666,2.17
CVD-0020431, ,,Fc1cc2nc(NNC(=O)c3cc(=O)[nH]c4ccccc34)[nH]c2cc1F,ALP-UNI-ed5cdfd2-6,> 99.5,,,0.194000005722046,-2.14
CVD-0020431, ,,Fc1cc2nc(NNC(=O)c3cc(=O)[nH]c4ccccc34)[nH]c2cc1F,ALP-UNI-ed5cdfd2-6,> 99.5,,,1.55200004577637,3.11
CVD-0020431, ,,Fc1cc2nc(NNC(=O)c3cc(=O)[nH]c4ccccc34)[nH]c2cc1F,ALP-UNI-ed5cdfd2-6,> 99.5,,,0.100000001490116,-1.59
CVD-0020431, ,,Fc1cc2nc(NNC(=O)c3cc(=O)[nH]c4ccccc34)[nH]c2cc1F,ALP-UNI-ed5cdfd2-6,> 99.5,,,0.776000022888184,-4.85
CVD-0020431, ,,Fc1cc2nc(NNC(=O)c3cc(=O)[nH]c4ccccc34)[nH]c2cc1F,ALP-UNI-ed5cdfd2-6,> 99.5,,,0.0500000007450581,-4.61
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,99.5,38.2
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,7.46299982070923,6.14
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,49.75,21.6
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,2.48799991607666,0.438
