name,alternate_name
Mac1-UCSF-P0404_0A,ZINC000000038389
Mac1-UCSF-P0204_0A,ZINC000000332673
Mac1-UCSF-P0411_0A,ZINC000000123600
Mac1-UCSF-P0394_0A,ZINC000033986325
Mac1-UCSF-P0358_0A,ZINC000000164777
Mac1-UCSF-P0415_0A,ZINC000000404314
Mac1-UCSF-P0417_0A,ZINC000000161692
Mac1-UCSF-P0193_0A,ZINC000006691828
Mac1-UCSF-P0188_0A,ZINC000000158490
Mac1-UCSF-P0373_0A,ZINC000000034687
Mac1-UCSF-P0371_0A,ZINC000000388514
Mac1-UCSF-P0375_0A,ZINC000000331715
Mac1-UCSF-P0178_0A,ZINC000000001099
Mac1-UCSF-P0436_0A,ZINC000008861082
Mac1-UCSF-P0455_0A,ZINC000000161958
Mac1-UCSF-P0437_0A,ZINC000000194295
Mac1-UCSF-P0439_0A,ZINC000001683100
Mac1-UCSF-P0441_0A,ZINC000004976927
Mac1-DLS-X0436_0B,Z19727416
Mac1-DLS-X0918_1B,Z955123498
Mac1-DLS-X0918_2B,Z955123498
Mac1-DLS-X0228_0B,Z2234920345
Mac1-DLS-X0766_0B,POB0128
Mac1-DLS-X0380_0B,Z85956652
Mac1-DLS-X0417_0B,Z1186029914
Mac1-DLS-X0797_0B,POB0135
Mac1-UCSF-P0371_0B,ZINC000000388514
Mac1-DLS-X0962_2A,Z2301685688
Mac1-DLS-EU0906_0A,Z373769142
Mac1-DLS-EU0860_0A,Z1263529624
Mac1-DLS-X0631_0A,Z57446103
Mac1-DLS-X0159_0B,Z57299529
Mac1-DLS-X0524_0A,Z68404778
Mac1-DLS-X0900_1A,Z940713508
Mac1-DLS-X0662_0A,Z2856434892
Mac1-DLS-X0676_0B,Z50145861
Mac1-DLS-X0128_1A,Z44592329
Mac1-DLS-EU0960_0A,Z45612755
Mac1-UCSF-P0509_0A,ZINC000002020050
Mac1-UCSF-P1494_0B,ZINC000084843283
Mac1-UCSF-P0343_0B,ZINC000000388302
Mac1-UCSF-P0511_1B,ZINC000019685960
Mac1-UCSF-P0570_0A,ZINC000000388150
Mac1-UCSF-P0444_0A,ZINC000032199226
Mac1-UCSF-P0570_0B,ZINC000000388150
Mac1-UCSF-P0511_0B,ZINC000019685960
Mac1-DLS-X0516_0A,Z2856434941
Mac1-DLS-X0822_0A,POB0140
Mac1-DLS-X0598_0A,Z1741966151
Mac1-DLS-X0933_1A,Z1954800348
Mac1-DLS-X0334_0A,Z2856434894
Mac1-DLS-X0792_0A,POB0041
Mac1-DLS-X0228_0A,Z2234920345
Mac1-UCSF-C309_0A,ZINC000002582714
Mac1-UCSF-C362_0A,ZINC000020269197
Mac1-UCSF-C137_0A,ZINC000000157088
Mac1-UCSF-C189_0A,ZINC000000332748
Mac1-UCSF-C257_0A,ZINC000002508153
Mac1-UCSF-C327_0A,ZINC000002506130
Mac1-UCSF-C295_0A,ZINC000000159004
Mac1-UCSF-P0582_0A,ZINC000933940912
Mac1-UCSF-P0482_0B,ZINC000019015194
Mac1-UCSF-P0309_0B,ZINC000002047514
Mac1-UCSF-P0227_0A,ZINC000002582714
Mac1-UCSF-P0378_0B,ZINC000000161696
Mac1-DLS-X0737_0B,POB0014
Mac1-DLS-X0933_0B,Z1954800348
Mac1-DLS-X0091_0B,Z369936976
Mac1-DLS-X0158_0B,Z2856434920
Mac1-DLS-X0259_0A,Z1787627869
Mac1-DLS-X0301_0B,Z57292369
Mac1-DLS-X0796_0B,POB0120
Mac1-DLS-X0423_0B,Z1139246057
Mac1-DLS-X0469_0B,Z1741959530
Mac1-DLS-X0933_2A,Z1954800348
Mac1-DLS-X1092_0B,FMOOA000509a
Mac1-DLS-X0548_0B,Z2856434938
Mac1-DLS-X0918_0B,Z955123498
Mac1-DLS-X0729_0B,POB0013
Mac1-DLS-X0600_0A,Z2856434937
Mac1-DLS-X0548_0A,Z2856434938
Mac1-DLS-X0905_0B,Z1741982125
Mac1-DLS-X0814_0B,POB0012
Mac1-UCSF-C058_0A,ZINC000001612349
Mac1-UCSF-C102_0A,ZINC000002977810
Mac1-UCSF-C279_0A,ZINC000016052862
Mac1-DLS-X0496_0A,Z906021418
Mac1-DLS-X0729_1B,POB0013
Mac1-DLS-EU0046_0B,EN300-43406
Mac1-DLS-EU0526_0A,PB1827975385
Mac1-DLS-X0655_0B,Z384468096
Mac1-DLS-X0173_0B,Z509756472
Mac1-DLS-X0216_0A,Z445856640
Mac1-DLS-X0910_0B,Z56866006
Mac1-DLS-X0933_1B,Z1954800348
Mac1-DLS-EU0744_0B,Z1262398530
Mac1-DLS-X0729_0A,POB0013
