crystal_id,site_number
Mac1-DLS-X0796_0B,14
Mac1-DLS-X0423_0B,14
Mac1-DLS-X0469_0B,14
Mac1-DLS-X0933_2A:Z1954800348,14
Mac1-DLS-X1092_0B,14
Mac1-DLS-X0548_0B,14
Mac1-DLS-X0918_0B,14
Mac1-DLS-X0729_0B,14
Mac1-DLS-X0600_0A,14
Mac1-DLS-X0548_0A,14
Mac1-DLS-X0905_0B,14
Mac1-DLS-X0814_0B,14
Mac1-UCSF-C058_0A,4
Mac1-UCSF-C102_0A,4
Mac1-UCSF-C279_0A,4
Mac1-DLS-X0496_0A,7
Mac1-DLS-X0729_1B:POB0013,7
Mac1-DLS-EU0046_0B,7
Mac1-DLS-EU0526_0A,7
Mac1-DLS-X0655_0B,7
Mac1-DLS-X0173_0B,7
Mac1-DLS-X0216_0A,7
Mac1-DLS-X0910_0B,7
Mac1-DLS-X0933_1B:Z1954800348,7
Mac1-DLS-EU0744_0B,7
Mac1-DLS-X0729_0A,7
