"Compound ID","SMILES","Library","Shipment","Plate Name","Source Well","Lab Visit","Soak DB Entry","Sample Name","Mounting Result","Soak DB Comments","Data Collection Date","Data Collection Outcome","Resolution","Refinement Outcome","Status","Date Last Updated","Fragalysis","PDB Code","Zenodo Status","Postera Series","Rapid Fire inhibition at 50 uM","Rapid Fire avg IC50 (uM)","Fluorescence inhibition at 50 uM","Fluorescence avg IC50 (uM)","Trypsin IC50","NMR std ratio"
"LON-WEI-b8d98729-36","CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=C(F)C2C)C=3C=CC=NC3)C(=O)C=C","MoonShot","Moonshot_shipment_1","1166137-Y4-01","AD06","lb18145-153","lb18145-153-3723","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,31.81661,,,
"LON-WEI-b8d98729-13","CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C","MoonShot","Moonshot_shipment_1","1166137-Y4-01","AE06","lb18145-153","lb18145-153-3724","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,8.125432,,,
"VIR-GIT-7b3d3065-3","CC(C)N(C)C(=O)C1CCN(CC1)C(=O)CCl","MoonShot","Moonshot_shipment_1","1166137-Y4-01","AF05","lb18145-153","lb18145-153-3725","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"None",,,38.7793,,,
"LON-WEI-b8d98729-46","CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3","MoonShot","Moonshot_shipment_1","1166137-Y4-01","AF06","lb18145-153","lb18145-153-3726","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,21.050805,,,
"LON-WEI-b8d98729-32","CC(C)C=1C=CC(=CN1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C","MoonShot","Moonshot_shipment_1","1166137-Y4-01","B05","lb18145-153","lb18145-153-3727","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,11.379195,,,
"VIR-GIT-7b3d3065-2","ClCC(=O)N1CCC(CC1)C(=O)N2CCCCC2","MoonShot","Moonshot_shipment_1","1166137-Y4-01","B06","lb18145-153","lb18145-153-3728","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"None",,,31.38461,,,
"LON-WEI-b8d98729-41","FC(F)(F)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C","MoonShot","Moonshot_shipment_1","1166137-Y4-01","B07","lb18145-153","lb18145-153-3729","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,22.04782,,,
"LON-WEI-b8d98729-1","COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=C(C)C1","MoonShot","Moonshot_shipment_1","1166137-Y4-01","C05","lb18145-153","lb18145-153-3730","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,11.321835,,,
"LON-WEI-b8d98729-15","CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3)C1","MoonShot","Moonshot_shipment_1","1166137-Y4-01","C07","lb18145-153","lb18145-153-3731","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,43.080275,99.01,99,
"LON-WEI-b8d98729-27","COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3)=CC1","MoonShot","Moonshot_shipment_1","1166137-Y4-01","D05","lb18145-153","lb18145-153-3732","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,26.9472840576405,60.67628,45.9956728166022,99,
